NAME                                                     VERSION           TYPE                           
@ampproject/remapping                                    2.2.0             npm                             
@babel/code-frame                                        7.18.6            npm                             
@babel/compat-data                                       7.18.13           npm                             
@babel/core                                              7.18.13           npm                             
@babel/generator                                         7.18.13           npm                             
@babel/helper-compilation-targets                        7.18.9            npm                             
@babel/helper-environment-visitor                        7.18.9            npm                             
@babel/helper-function-name                              7.18.9            npm                             
@babel/helper-hoist-variables                            7.18.6            npm                             
@babel/helper-module-imports                             7.18.6            npm                             
@babel/helper-module-transforms                          7.18.9            npm                             
@babel/helper-simple-access                              7.18.6            npm                             
@babel/helper-split-export-declaration                   7.18.6            npm                             
@babel/helper-string-parser                              7.18.10           npm                             
@babel/helper-validator-identifier                       7.18.6            npm                             
@babel/helper-validator-option                           7.18.6            npm                             
@babel/helpers                                           7.18.9            npm                             
@babel/highlight                                         7.18.6            npm                             
@babel/parser                                            7.18.13           npm                             
@babel/template                                          7.18.10           npm                             
@babel/traverse                                          7.18.13           npm                             
@babel/types                                             7.18.13           npm                             
@ckeditor/ckeditor5-adapter-ckfinder                     42.0.2            npm                             
@ckeditor/ckeditor5-alignment                            42.0.2            npm                             
@ckeditor/ckeditor5-autoformat                           42.0.2            npm                             
@ckeditor/ckeditor5-autosave                             42.0.2            npm                             
@ckeditor/ckeditor5-basic-styles                         42.0.2            npm                             
@ckeditor/ckeditor5-block-quote                          42.0.2            npm                             
@ckeditor/ckeditor5-build-classic                        42.0.2            npm                             
@ckeditor/ckeditor5-ckbox                                42.0.2            npm                             
@ckeditor/ckeditor5-ckfinder                             42.0.2            npm                             
@ckeditor/ckeditor5-clipboard                            42.0.2            npm                             
@ckeditor/ckeditor5-cloud-services                       42.0.2            npm                             
@ckeditor/ckeditor5-code-block                           42.0.2            npm                             
@ckeditor/ckeditor5-core                                 42.0.2            npm                             
@ckeditor/ckeditor5-easy-image                           42.0.2            npm                             
@ckeditor/ckeditor5-editor-balloon                       42.0.2            npm                             
@ckeditor/ckeditor5-editor-classic                       42.0.2            npm                             
@ckeditor/ckeditor5-editor-decoupled                     42.0.2            npm                             
@ckeditor/ckeditor5-editor-inline                        42.0.2            npm                             
@ckeditor/ckeditor5-editor-multi-root                    42.0.2            npm                             
@ckeditor/ckeditor5-engine                               42.0.2            npm                             
@ckeditor/ckeditor5-enter                                42.0.2            npm                             
@ckeditor/ckeditor5-essentials                           42.0.2            npm                             
@ckeditor/ckeditor5-find-and-replace                     42.0.2            npm                             
@ckeditor/ckeditor5-font                                 42.0.2            npm                             
@ckeditor/ckeditor5-heading                              42.0.2            npm                             
@ckeditor/ckeditor5-highlight                            42.0.2            npm                             
@ckeditor/ckeditor5-horizontal-line                      42.0.2            npm                             
@ckeditor/ckeditor5-html-embed                           42.0.2            npm                             
@ckeditor/ckeditor5-html-support                         42.0.2            npm                             
@ckeditor/ckeditor5-image                                42.0.2            npm                             
@ckeditor/ckeditor5-indent                               42.0.2            npm                             
@ckeditor/ckeditor5-language                             42.0.2            npm                             
@ckeditor/ckeditor5-link                                 42.0.2            npm                             
@ckeditor/ckeditor5-list                                 42.0.2            npm                             
@ckeditor/ckeditor5-markdown-gfm                         42.0.2            npm                             
@ckeditor/ckeditor5-media-embed                          42.0.2            npm                             
@ckeditor/ckeditor5-mention                              42.0.2            npm                             
@ckeditor/ckeditor5-minimap                              42.0.2            npm                             
@ckeditor/ckeditor5-page-break                           42.0.2            npm                             
@ckeditor/ckeditor5-paragraph                            42.0.2            npm                             
@ckeditor/ckeditor5-paste-from-office                    42.0.2            npm                             
@ckeditor/ckeditor5-remove-format                        42.0.2            npm                             
@ckeditor/ckeditor5-restricted-editing                   42.0.2            npm                             
@ckeditor/ckeditor5-select-all                           42.0.2            npm                             
@ckeditor/ckeditor5-show-blocks                          42.0.2            npm                             
@ckeditor/ckeditor5-source-editing                       42.0.2            npm                             
@ckeditor/ckeditor5-special-characters                   42.0.2            npm                             
@ckeditor/ckeditor5-style                                42.0.2            npm                             
@ckeditor/ckeditor5-table                                42.0.2            npm                             
@ckeditor/ckeditor5-theme-lark                           42.0.2            npm                             
@ckeditor/ckeditor5-typing                               42.0.2            npm                             
@ckeditor/ckeditor5-ui                                   42.0.2            npm                             
@ckeditor/ckeditor5-undo                                 42.0.2            npm                             
@ckeditor/ckeditor5-upload                               42.0.2            npm                             
@ckeditor/ckeditor5-utils                                42.0.2            npm                             
@ckeditor/ckeditor5-watchdog                             42.0.2            npm                             
@ckeditor/ckeditor5-widget                               42.0.2            npm                             
@ckeditor/ckeditor5-word-count                           42.0.2            npm                             
@gulp-sourcemaps/identity-map                            2.0.1             npm                             
@gulp-sourcemaps/map-sources                             1.0.0             npm                             
@jridgewell/gen-mapping                                  0.1.1             npm                             
@jridgewell/gen-mapping                                  0.3.2             npm                             
@jridgewell/resolve-uri                                  3.1.0             npm                             
@jridgewell/set-array                                    1.1.2             npm                             
@jridgewell/sourcemap-codec                              1.4.14            npm                             
@jridgewell/trace-mapping                                0.3.15            npm                             
@mixmark-io/domino                                       2.2.0             npm                             
@my-scope/package-a                                      0.0.0             npm                             
@my-scope/package-b                                      0.0.0             npm                             
@popperjs/core                                           2.11.6            npm                             
@yaireo/tagify                                           4.12.0            npm                             
acl-libs                                                 2.3.2-r1          apk                             
acorn                                                    6.4.2             npm                             
alpine-baselayout                                        3.6.8-r1          apk                             
alpine-baselayout-data                                   3.6.8-r1          apk                             
alpine-keys                                              2.5-r0            apk                             
alpine-release                                           3.21.4-r0         apk                             
ansi-colors                                              1.1.0             npm                             
ansi-gray                                                0.1.1             npm                             
ansi-regex                                               2.1.1             npm                             
ansi-regex                                               5.0.1             npm                             
ansi-styles                                              2.2.1             npm                             
ansi-styles                                              3.2.1             npm                             
ansi-wrap                                                0.1.0             npm                             
anymatch                                                 2.0.0             npm                             
anymatch                                                 3.1.2             npm                             
aom-libs                                                 3.11.0-r0         apk                             
apache2-utils                                            2.4.65-r0         apk                             
apk-tools                                                2.14.6-r3         apk                             
append-buffer                                            1.0.2             npm                             
apr                                                      1.7.5-r0          apk                             
apr-util                                                 1.6.3-r1          apk                             
archy                                                    1.0.0             npm                             
argon2-libs                                              20190702-r5       apk                             
arr-diff                                                 4.0.0             npm                             
arr-filter                                               1.1.2             npm                             
arr-flatten                                              1.1.0             npm                             
arr-map                                                  2.0.2             npm                             
arr-union                                                3.1.0             npm                             
array-each                                               1.0.1             npm                             
array-initial                                            1.1.0             npm                             
array-last                                               1.3.0             npm                             
array-slice                                              1.1.0             npm                             
array-sort                                               1.0.0             npm                             
array-unique                                             0.3.2             npm                             
assign-symbols                                           1.0.0             npm                             
async-done                                               1.3.2             npm                             
async-each                                               1.0.3             npm                             
async-settle                                             1.0.0             npm                             
asynckit                                                 0.4.0             npm                             
atob                                                     2.1.2             npm                             
autoprefixer                                             10.4.8            npm                             
axios                                                    1.1.3             npm                             
babel-code-frame                                         6.26.0            npm                             
babel-helper-builder-binary-assignment-operator-visitor  6.24.1            npm                             
babel-helper-call-delegate                               6.24.1            npm                             
babel-helper-define-map                                  6.26.0            npm                             
babel-helper-explode-assignable-expression               6.24.1            npm                             
babel-helper-function-name                               6.24.1            npm                             
babel-helper-get-function-arity                          6.24.1            npm                             
babel-helper-hoist-variables                             6.24.1            npm                             
babel-helper-optimise-call-expression                    6.24.1            npm                             
babel-helper-regex                                       6.26.0            npm                             
babel-helper-remap-async-to-generator                    6.24.1            npm                             
babel-helper-replace-supers                              6.24.1            npm                             
babel-messages                                           6.23.0            npm                             
babel-plugin-check-es2015-constants                      6.22.0            npm                             
babel-plugin-syntax-async-functions                      6.13.0            npm                             
babel-plugin-syntax-exponentiation-operator              6.13.0            npm                             
babel-plugin-syntax-trailing-function-commas             6.22.0            npm                             
babel-plugin-transform-async-to-generator                6.24.1            npm                             
babel-plugin-transform-es2015-arrow-functions            6.22.0            npm                             
babel-plugin-transform-es2015-block-scoped-functions     6.22.0            npm                             
babel-plugin-transform-es2015-block-scoping              6.26.0            npm                             
babel-plugin-transform-es2015-classes                    6.24.1            npm                             
babel-plugin-transform-es2015-computed-properties        6.24.1            npm                             
babel-plugin-transform-es2015-destructuring              6.23.0            npm                             
babel-plugin-transform-es2015-duplicate-keys             6.24.1            npm                             
babel-plugin-transform-es2015-for-of                     6.23.0            npm                             
babel-plugin-transform-es2015-function-name              6.24.1            npm                             
babel-plugin-transform-es2015-literals                   6.22.0            npm                             
babel-plugin-transform-es2015-modules-amd                6.24.1            npm                             
babel-plugin-transform-es2015-modules-commonjs           6.26.2            npm                             
babel-plugin-transform-es2015-modules-systemjs           6.24.1            npm                             
babel-plugin-transform-es2015-modules-umd                6.24.1            npm                             
babel-plugin-transform-es2015-object-super               6.24.1            npm                             
babel-plugin-transform-es2015-parameters                 6.24.1            npm                             
babel-plugin-transform-es2015-shorthand-properties       6.24.1            npm                             
babel-plugin-transform-es2015-spread                     6.22.0            npm                             
babel-plugin-transform-es2015-sticky-regex               6.24.1            npm                             
babel-plugin-transform-es2015-template-literals          6.22.0            npm                             
babel-plugin-transform-es2015-typeof-symbol              6.23.0            npm                             
babel-plugin-transform-es2015-unicode-regex              6.24.1            npm                             
babel-plugin-transform-exponentiation-operator           6.24.1            npm                             
babel-plugin-transform-regenerator                       6.26.0            npm                             
babel-plugin-transform-strict-mode                       6.24.1            npm                             
babel-preset-env                                         1.7.0             npm                             
babel-runtime                                            6.26.0            npm                             
babel-template                                           6.26.0            npm                             
babel-traverse                                           6.26.0            npm                             
babel-types                                              6.26.0            npm                             
babylon                                                  6.18.0            npm                             
bach                                                     1.2.0             npm                             
balanced-match                                           1.0.2             npm                             
base                                                     0.11.2            npm                             
bash                                                     5.2.37-r0         apk                             
baz                                                      UNKNOWN           npm                             
binary-extensions                                        1.13.1            npm                             
binary-extensions                                        2.2.0             npm                             
blurhash                                                 2.0.5             npm                             
bootstrap                                                5.2.1             npm                             
bootstrap-datepicker                                     1.9.0             npm                             
bootstrap-toggle                                         2.2.2             npm                             
brace-expansion                                          1.1.11            npm                             
